model_number,distance_used,similarity_scaling_used,features_used,train_log_likelihood,opt_log_likelihood,heldout_log_likelihood,weight_1,weight_2,weight_3,weight_4,weight_5
MODEL-1.1 - Natural,1,1,F1_F2_F3,-1887.5266998826353,-3784.879739164635,-3805.941074293727,0.7451424562754906,0.25485754585000747,0.0,,
MODEL-1.1 - Natural,1,1,F1_F2_F3,-1901.6947906437813,-3815.0617762363463,-3836.5434293707754,0.6858945282511736,0.31410547199236455,0.0,,
MODEL-1.1 - Natural,1,1,F1_F2_F3,-1905.783257566898,-3802.7022846362465,-3823.9183283193224,0.6574404798711949,0.3425595211871474,0.0,,
MODEL-1.1 - Natural,1,1,F1_F2_F3,-1767.671508720386,-3797.606999664591,-3818.7058705665613,0.676562052148533,0.32343794804199505,0.0,,
MODEL-1.1 - Natural,1,1,F1_F2_F3,-1773.558344468944,-3794.879410527708,-3815.742493873638,0.6697575588632415,0.3302424405270399,6.097184407344693e-10,,
MODEL-1.1 - Natural,1,2,F1_F2_F3,-1924.455903360282,-3833.4147426017576,-3854.3923892108814,1.0,2.7122043499971937e-10,0.0,,
MODEL-1.1 - Natural,1,2,F1_F2_F3,-1941.2813947807458,-3846.737294684882,-3868.8386597432327,1.0,3.462524156283564e-10,0.0,,
MODEL-1.1 - Natural,1,2,F1_F2_F3,-1946.2538299916441,-3841.4206108090484,-3862.9685751383745,1.0,6.35199615128812e-10,0.0,,
MODEL-1.1 - Natural,1,2,F1_F2_F3,-1805.9825833967534,-3834.802584035172,-3856.1112594739125,0.999999999820318,0.0,2.7376062528006173e-10,,
MODEL-1.1 - Natural,1,2,F1_F2_F3,-1801.7354758110241,-3829.9458352310744,-3851.1407354155585,0.9999999991193698,0.0,1.2933306092755004e-09,,
MODEL-1.1 - Natural,1,4,F1_F2_F3,-1989.9590123657385,-3923.0017349948707,-3942.965668348632,0.999999999853008,0.0,2.1248330872580823e-10,,
MODEL-1.1 - Natural,1,4,F1_F2_F3,-2005.8158503210025,-3922.6739128194877,-3943.640328554454,1.0,5.189193519328228e-11,0.0,,
MODEL-1.1 - Natural,1,4,F1_F2_F3,-2014.9326408007908,-3922.0548304217627,-3942.554109861814,0.9999999999329485,0.0,1.0018924578858446e-10,,
MODEL-1.1 - Natural,1,4,F1_F2_F3,-1870.9256111630493,-3919.676483883224,-3939.7719254247286,1.0,4.304873124638675e-11,0.0,,
MODEL-1.1 - Natural,1,4,F1_F2_F3,-1859.1025985099222,-3905.814748869089,-3926.208099658099,1.0,2.3187063380447626e-11,0.0,,
MODEL-1.1 - Natural,2,1,F1_F2_F3,-1876.9608660016645,-3790.2025023658425,-3812.020032953566,0.999999998556278,0.0,2.1071093203595126e-09,,
MODEL-1.1 - Natural,2,1,F1_F2_F3,-1893.9677615939613,-3823.332670617636,-3846.671203716559,0.9999999996474163,0.0,5.414734771669316e-10,,
MODEL-1.1 - Natural,2,1,F1_F2_F3,-1893.8254680180253,-3812.5816528642,-3835.299018902434,1.0,4.170093714783718e-10,0.0,,
MODEL-1.1 - Natural,2,1,F1_F2_F3,-1756.1546044079664,-3806.4557606692497,-3829.092207239395,0.9999999965827,0.0,5.2228256719466515e-09,,
MODEL-1.1 - Natural,2,1,F1_F2_F3,-1762.1699616723008,-3804.445837327782,-3826.5467783199547,0.999999999938999,0.0,8.846307020249355e-11,,
MODEL-1.1 - Natural,2,2,F1_F2_F3,-1924.4559038272473,-3833.4147433064227,-3854.392389910433,0.9999999986918906,0.0,1.604541555177974e-09,,
MODEL-1.1 - Natural,2,2,F1_F2_F3,-1941.2813948945986,-3846.7372948572684,-3868.838659915611,0.9999999998297839,0.0,2.1645985004425938e-10,,
